scaling,pca_components,k,metric,weights,mean_macro_f1,std_macro_f1,fold1_macro_f1,fold2_macro_f1,fold3_macro_f1,fold4_macro_f1,fold5_macro_f1
minmax,100,5,cosine,uniform,0.820666471542858,0.007745196300381961,0.8113350525288473,0.8295492597634826,0.8237182062055186,0.8271514420008345,0.8115783972156073
standard,50,7,manhattan,uniform,0.8203413185278334,0.0069274025617606415,0.8230031876261241,0.8277072437974275,0.8088226784494326,0.8258202257956431,0.8163532569705403
standard,100,7,manhattan,distance,0.820329037325091,0.011648271846861314,0.8127227091393069,0.8378632970729637,0.8222700544241773,0.8253239081985043,0.8034652177905025
minmax,100,5,manhattan,uniform,0.8202126975177793,0.010906495769194717,0.8183437980925408,0.835767857454551,0.827087209580263,0.8166654703548237,0.8031991521067174
standard,50,7,cosine,distance,0.8200804743994901,0.0111545907655689,0.8119781766876102,0.8271547394055615,0.8180670360482134,0.837377027102724,0.8058253927533411
standard,50,5,manhattan,distance,0.8199360684308914,0.008412705807516671,0.823039421213928,0.8293253913884506,0.816396951380385,0.8255456525240774,0.8053729256476154
minmax,50,5,manhattan,distance,0.8198532170508421,0.013146668842780597,0.8120432599142923,0.8360275804406709,0.8210322086995223,0.8308079417826727,0.7993550944170527
minmax,50,5,cosine,uniform,0.8195717646013749,0.01066073331759719,0.8116223781855174,0.838391710197708,0.8158225414047647,0.8234763390713967,0.808545854147488
standard,100,5,cosine,distance,0.8191667059672344,0.007431583941504601,0.8196366616873503,0.8304905550896386,0.8223556539190137,0.8152306743062251,0.8081199848339444
minmax,100,5,euclidean,distance,0.8188324595762673,0.0037454517143966043,0.8209599744617133,0.8230387518724515,0.8215125343167123,0.8140857333063369,0.8145653039241225
standard,50,3,manhattan,uniform,0.8188085623835383,0.01152384486772404,0.8284133086303214,0.8337196481405925,0.807804473308607,0.8203300636574632,0.8037753181807072
minmax,50,3,cosine,distance,0.8188078274230837,0.008101746453142862,0.8173281651963776,0.8305249021694265,0.819397053755383,0.8214492269541223,0.8053397890401085
standard,50,5,cosine,distance,0.8187845655627026,0.008694578205212812,0.813722603605442,0.8306724682867538,0.8134638396325714,0.8275605939471449,0.8085033223416012
minmax,50,7,cosine,uniform,0.8186569953259959,0.005922892162173348,0.811613188476929,0.8240984720519918,0.8211437196657675,0.8249082091354761,0.8115213872998144
minmax,100,3,manhattan,distance,0.818633391075628,0.010401383229214262,0.8102309944039252,0.8217473567187288,0.836461766460723,0.8180278139421331,0.8066990238526299
standard,100,3,cosine,distance,0.8185644506960031,0.007966306612398694,0.8243343669614089,0.8202452419789061,0.8191733491110353,0.8256778929944394,0.803391402434225
minmax,100,7,manhattan,uniform,0.8181634835142211,0.009728669396719767,0.816007008477157,0.829675685843698,0.8255494652523938,0.8181997306762023,0.8013855273216542
standard,100,5,manhattan,uniform,0.818071743223763,0.01128191430572422,0.8102486864500225,0.8263231618984289,0.8256530551390011,0.8285162678396711,0.799617544791691
minmax,30,7,cosine,distance,0.8179551909147593,0.00843792620558733,0.8070444507485819,0.8293678819710311,0.8216603680024882,0.8223370307287198,0.8093662231229752
standard,100,3,manhattan,uniform,0.8178780493654635,0.0101314646065343,0.827662029854739,0.823800785501749,0.8168363315466655,0.8222462235922089,0.7988448763319544
minmax,50,7,manhattan,distance,0.8178716569323843,0.010841506530361958,0.8100127883771584,0.8338244434409766,0.82364956259875,0.8193571514102018,0.802514338834835
standard,100,7,manhattan,uniform,0.8177824744827913,0.009905892106917415,0.8094379622999064,0.8317196749063974,0.8211927298945891,0.8226244686561609,0.8039375366569027
minmax,30,5,cosine,distance,0.8175618819024282,0.00817105858022259,0.8093594392129629,0.8249509919734395,0.8177027176363708,0.828186619474723,0.8076096412146446
minmax,100,3,cosine,uniform,0.8171753470807277,0.011249374817651911,0.8158675183496984,0.8303158186860905,0.8223516957771139,0.8206481689413618,0.7966935336493741
minmax,100,5,euclidean,uniform,0.8171140799363641,0.005863697832578871,0.8230118266688977,0.8242496132952757,0.816964210753483,0.809407086090002,0.8119376628741618
standard,50,5,manhattan,uniform,0.8170422706341712,0.008486186420976148,0.8214334536760755,0.8248866538881204,0.8119174123161448,0.8241573127476205,0.8028165205428948
minmax,100,7,euclidean,distance,0.8169687449778144,0.0036950515105072476,0.8173340157281528,0.8179731060155581,0.8225627603105563,0.8158937519428736,0.8110800908919306
minmax,30,5,manhattan,distance,0.8168135040335882,0.01012019605348868,0.827355219623968,0.8231025663654661,0.8104255681325565,0.8231263703522107,0.8000577956937402
minmax,50,3,manhattan,distance,0.8166224157804972,0.009274369457357651,0.8196593306832443,0.8214805320708269,0.8214280906481649,0.8223860426903944,0.7981580828098556
minmax,100,3,euclidean,distance,0.8165847639115601,0.009478603320606824,0.8206618085417146,0.8307340522228424,0.8183911096227832,0.8103418818916142,0.8027949672788459
minmax,50,7,manhattan,uniform,0.8164727348081428,0.009097605463058767,0.8086747736701726,0.8287617303618375,0.8223376998111569,0.8188440178366342,0.8037454523609128
minmax,30,7,euclidean,distance,0.8162820025578037,0.006472827107160418,0.8207234625247037,0.8178874174998565,0.8034806685907376,0.8191602230178121,0.820158241155909
minmax,50,5,euclidean,distance,0.8162571864776778,0.0057479509705150155,0.8117965192307424,0.8265664651352971,0.8139910559897825,0.8181715829992904,0.8107603090332768
